batch_size,domain,arm,trial,n_correct,n_total,pass_rate,input_tokens,cache_creation,cache_read,output_tokens,total_cost_usd,num_turns,duration_ms,is_error
"1","middleware","D","1","1","1","1.0000",9,4558,156220,621,0.07330049999999999,7,"19276",0
"1","middleware","C","1","1","1","1.0000",7,3267,84723,299,0.042174149999999994,4,"10646",0
"1","middleware","D","2","1","1","1.0000",8,2110,154436,437,0.0608223,5,"16952",0
"1","middleware","C","2","1","1","1.0000",8,3215,113576,313,0.05084805,4,"13261",0
"1","middleware","D","3","1","1","1.0000",11,3883,186357,574,0.07911135,6,"18288",0
"1","middleware","C","3","1","1","1.0000",11,2073,143002,409,0.05684235,5,"14555",0
"1","routing","D","1","1","1","1.0000",11,13016,176415,544,0.1099275,6,"21848",0
"1","routing","C","1","1","1","1.0000",11,9642,135359,397,0.0827532,5,"18923",0
"1","routing","D","2","1","1","1.0000",11,3458,185811,523,0.07658879999999998,6,"17989",0
"1","routing","C","2","1","1","1.0000",11,2040,142969,398,0.0565437,5,"14629",0
"1","routing","D","3","1","1","1.0000",11,2272,184987,593,0.0729441,6,"19100",0
"1","routing","C","3","1","1","1.0000",11,2047,142985,405,0.05667975,5,"16585",0
"1","errors","D","1","1","1","1.0000",7,13865,115710,478,0.09389775,5,"14563",0
"1","errors","C","1","1","1","1.0000",11,11910,139767,506,0.0942156,5,"17037",0
"1","errors","D","2","1","1","1.0000",9,4827,156650,1444,0.08678324999999999,7,"33645",0
"1","errors","C","2","1","1","1.0000",11,4343,147407,542,0.06867134999999999,5,"19931",0
"1","errors","D","3","1","1","1.0000",9,6542,158019,628,0.08138519999999999,7,"19267",0
"1","errors","C","3","1","1","1.0000",11,4287,147324,487,0.06761145,5,"16051",0
"1","logging","D","1","1","1","1.0000",8,12077,146196,436,0.09571155,5,"14379",0
"1","logging","C","1","1","1","1.0000",11,9669,135337,418,0.08316285,5,"24227",0
"1","logging","D","2","1","1","1.0000",9,4165,154738,515,0.06979215,7,"17132",0
"1","logging","C","2","1","1","1.0000",11,2077,142977,430,0.057164849999999996,5,"16379",0
"1","logging","D","3","1","1","1.0000",11,4285,185869,634,0.08137245,7,"20710",0
"1","logging","C","3","1","1","1.0000",11,2091,143022,444,0.057440849999999995,5,"14913",0
"1","testing","D","1","1","1","1.0000",11,13056,176481,569,0.11047230000000001,6,"17906",0
