batch_size,domain,arm,trial,n_correct,n_total,pass_rate,input_tokens,cache_creation,cache_read,output_tokens,total_cost_usd,num_turns,duration_ms,is_error
"1","middleware","D","1","1","1","1.0000",11,32589,155602,511,0.17658734999999998,6,"18192",0
"1","middleware","C","1","1","1","1.0000",11,32321,119926,468,0.16423454999999998,5,"15613",0
"1","middleware","D","2","1","1","1.0000",8,2090,155422,417,0.060743099999999994,5,"13818",0
"1","middleware","C","2","1","1","1.0000",8,3212,114405,358,0.0517605,5,"16036",0
"1","middleware","D","3","1","1","1.0000",8,2099,155404,424,0.06087645,5,"14981",0
"1","middleware","C","3","1","1","1.0000",12,4184,177271,513,0.0766023,6,"15999",0
"1","routing","D","1","1","1","1.0000",10,12583,178527,513,0.10846935,7,"18848",0
"1","routing","C","1","1","1","1.0000",11,9856,136209,403,0.0839007,5,"14019",0
"1","routing","D","2","1","1","1.0000",11,3497,187187,560,0.07770285,6,"18167",0
"1","routing","C","2","1","1","1.0000",11,2074,144020,433,0.05751149999999999,5,"15633",0
"1","routing","D","3","1","1","1.0000",11,3462,187061,525,0.07700879999999999,6,"17169",0
"1","routing","C","3","1","1","1.0000",11,746,145346,431,0.052899299999999996,5,"13254",0
"1","errors","D","1","1","1","1.0000",9,14058,147096,1116,0.11361329999999999,7,"26557",0
"1","errors","C","1","1","1","1.0000",11,12091,140568,479,0.09472965,5,"15451",0
"1","errors","D","2","1","1","1.0000",10,4786,188660,797,0.0865305,8,"24444",0
"1","errors","C","2","1","1","1.0000",11,4279,148398,478,0.06776864999999999,5,"17315",0
"1","errors","D","3","1","1","1.0000",14,4689,250698,769,0.10437015,9,"25969",0
"1","errors","C","3","1","1","1.0000",11,4453,148551,652,0.07107705,5,"18014",0
"1","logging","D","1","1","1","1.0000",11,13966,177280,570,0.1141395,7,"17106",0
"1","logging","C","1","1","1","1.0000",11,9858,136197,398,0.0838296,5,"13909",0
"1","logging","D","2","1","1","1.0000",8,2058,155335,404,0.060402,5,"14994",0
"1","logging","C","2","1","1","1.0000",11,2078,144009,431,0.0574932,5,"19014",0
"1","logging","D","3","1","1","1.0000",11,4575,187970,852,0.08636025,8,"20470",0
"1","logging","C","3","1","1","1.0000",11,0,146055,398,0.049819499999999996,5,"19178",0
"1","testing","D","1","1","1","1.0000",11,13241,177338,546,0.11107815,6,"17922",0
"1","testing","C","1","1","1","1.0000",11,9877,136212,402,0.08396535,5,"13472",0
"1","testing","D","2","1","1","1.0000",6,1181,91531,254,0.03571605,3,"8641",0
