batch_size,domain,arm,trial,n_correct,n_total,pass_rate,input_tokens,cache_creation,cache_read,output_tokens,total_cost_usd,num_turns,duration_ms,is_error
"4","middleware","D","1","4","4","1.0000",13,18029,182293,1067,0.13834064999999998,12,"23814",0
"4","middleware","C","1","4","4","1.0000",7,11107,78033,267,0.06908714999999999,3,"14347",0
"4","middleware","D","2","4","4","1.0000",13,7888,192253,1045,0.1029699,12,"23125",0
"4","middleware","C","2","4","4","1.0000",14,6582,181010,766,0.0905175,9,"21623",0
"4","middleware","D","3","4","4","1.0000",13,6349,190573,1004,0.09607964999999999,12,"26185",0
"4","middleware","C","3","4","4","1.0000",7,3024,86084,251,0.04095119999999999,3,"18104",0
"4","errors","D","1","4","4","1.0000",13,16601,181023,1098,0.13306964999999998,12,"22531",0
"4","errors","C","1","4","4","1.0000",11,12471,141661,627,0.09870255,5,"17115",0
"4","errors","D","2","4","4","1.0000",10,5562,160501,1410,0.09018780000000001,9,"28073",0
"4","errors","C","2","4","4","1.0000",11,4503,149736,736,0.07288005,5,"21533",0
"4","errors","D","3","4","4","1.0000",13,6417,190768,1021,0.09664814999999999,12,"22554",0
"4","errors","C","3","4","4","1.0000",11,4536,149862,769,0.0735366,5,"20377",0
