batch_size,domain,arm,trial,n_correct,n_total,pass_rate,input_tokens,cache_creation,cache_read,output_tokens,total_cost_usd,num_turns,duration_ms,is_error
"4","middleware","D","1","4","4","1.0000",13,19828,179567,1098,0.18934710000000002,12,"28623",0
"4","middleware","C","1","4","4","1.0000",14,20174,187079,944,0.19136969999999998,12,"25490",0
"4","middleware","D","2","4","4","1.0000",6,12819,94010,349,0.11037000000000001,3,"14487",0
"4","middleware","C","2","4","4","1.0000",14,6682,190570,908,0.110925,12,"28822",0
"4","middleware","D","3","4","4","1.0000",10,13340,158429,722,0.13842870000000002,8,"23838",0
"4","middleware","C","3","4","4","1.0000",14,6710,190657,936,0.1115391,12,"28271",0
"4","routing","D","1","4","4","1.0000",13,15342,183387,979,0.1617921,12,"25917",0
"4","routing","C","1","4","4","1.0000",14,15055,182081,925,0.1588713,12,"26307",0
"4","routing","D","2","4","4","1.0000",8,11275,164363,801,0.1289979,8,"23610",0
"4","routing","C","2","4","4","1.0000",14,6536,190485,891,0.10976849999999999,12,"34706",0
"4","routing","D","3","4","4","1.0000",10,5094,158133,996,0.0929739,11,"25782",0
"4","routing","C","3","4","4","1.0000",14,6553,190473,908,0.1101219,12,"27047",0
"4","errors","D","1","4","4","1.0000",9,15680,117928,976,0.14412540000000001,10,"22604",0
"4","errors","C","1","4","4","1.0000",14,15220,182102,909,0.15962759999999998,12,"24696",0
"4","errors","D","2","4","4","1.0000",15,7143,256033,1243,0.1383579,14,"36085",0
"4","errors","C","2","4","4","1.0000",14,6758,190679,931,0.11175869999999999,12,"22121",0
"4","errors","D","3","4","4","1.0000",6,6380,93978,617,0.07574639999999999,6,"14504",0
"4","errors","C","3","4","4","1.0000",14,6752,190608,927,0.1116414,12,"22377",0
"4","logging","D","1","4","4","1.0000",9,13628,117887,840,0.1297611,10,"20045",0
"4","logging","C","1","4","4","1.0000",15,15903,217567,1055,0.1765581,13,"31453",0
"4","logging","D","2","4","4","1.0000",9,4924,126687,861,0.0804921,10,"18185",0
"4","logging","C","2","4","4","1.0000",14,6679,190727,1017,0.1125891,12,"30327",0
"4","logging","D","3","4","4","1.0000",7,12788,136152,533,0.1255896,5,"15536",0
"4","logging","C","3","4","4","1.0000",14,6554,190449,892,0.1098807,12,"18996",0
"4","testing","D","1","4","4","1.0000",7,19172,124243,630,0.1617759,6,"21411",0
"4","testing","C","1","4","4","1.0000",14,15102,182015,945,0.15943349999999998,12,"37871",0
"4","testing","D","2","4","4","1.0000",13,7479,195234,986,0.11827319999999998,12,"37671",0
"4","testing","C","2","4","4","1.0000",14,6591,190492,916,0.11047559999999998,12,"21841",0
"4","testing","D","3","4","4","1.0000",6,4312,93950,481,0.06129,6,"15920",0
"4","testing","C","3","4","4","1.0000",14,6599,190433,924,0.11062589999999999,12,"34218",0
