batch_size,domain,arm,trial,n_correct,n_total,pass_rate,input_tokens,cache_creation,cache_read,output_tokens,total_cost_usd,num_turns,duration_ms,is_error
"1","middleware","D","1","1","1","1.0000",9,15050,143946,446,0.1402008,7,"29711",0
"1","middleware","C","1","0","1","0.0000",0,0,0,0,0,1,"72332",1
"1","middleware","D","2","0","1","0.0000",0,0,0,0,0,1,"1295",1
"1","middleware","C","2","0","1","0.0000",0,0,0,0,0,1,"1284",1
"1","middleware","D","3","0","1","0.0000",0,0,0,0,0,1,"1249",1
"1","middleware","C","3","0","1","0.0000",0,0,0,0,0,1,"1373",1
"1","routing","D","1","0","1","0.0000",0,0,0,0,0,1,"1405",1
"1","routing","C","1","0","1","0.0000",0,0,0,0,0,1,"1239",1
"1","routing","D","2","0","1","0.0000",0,0,0,0,0,1,"1154",1
"1","routing","C","2","0","1","0.0000",0,0,0,0,0,1,"1176",1
"1","routing","D","3","0","1","0.0000",0,0,0,0,0,1,"1142",1
"1","routing","C","3","0","1","0.0000",0,0,0,0,0,1,"1143",1
"1","errors","D","1","0","1","0.0000",0,0,0,0,0,1,"1180",1
"1","errors","C","1","0","1","0.0000",0,0,0,0,0,1,"1156",1
"1","errors","D","2","0","1","0.0000",0,0,0,0,0,1,"1166",1
"1","errors","C","2","0","1","0.0000",0,0,0,0,0,1,"1181",1
"1","errors","D","3","0","1","0.0000",0,0,0,0,0,1,"1197",1
"1","errors","C","3","0","1","0.0000",0,0,0,0,0,1,"1154",1
"1","logging","D","1","0","1","0.0000",0,0,0,0,0,1,"1188",1
"1","logging","C","1","0","1","0.0000",0,0,0,0,0,1,"1159",1
"1","logging","D","2","0","1","0.0000",0,0,0,0,0,1,"1204",1
"1","logging","C","2","0","1","0.0000",0,0,0,0,0,1,"1182",1
"1","logging","D","3","0","1","0.0000",0,0,0,0,0,1,"1195",1
"1","logging","C","3","0","1","0.0000",0,0,0,0,0,1,"1185",1
"1","testing","D","1","0","1","0.0000",0,0,0,0,0,1,"1239",1
"1","testing","C","1","0","1","0.0000",0,0,0,0,0,1,"1157",1
"1","testing","D","2","0","1","0.0000",0,0,0,0,0,1,"1143",1
"1","testing","C","2","0","1","0.0000",0,0,0,0,0,1,"1194",1
"1","testing","D","3","0","1","0.0000",0,0,0,0,0,1,"1155",1
"1","testing","C","3","0","1","0.0000",0,0,0,0,0,1,"1198",1
"2","middleware","D","1","0","2","0.0000",0,0,0,0,0,1,"1140",1
"2","middleware","C","1","0","2","0.0000",0,0,0,0,0,1,"1161",1
"2","middleware","D","2","0","2","0.0000",0,0,0,0,0,1,"1131",1
"2","middleware","C","2","0","2","0.0000",0,0,0,0,0,1,"1174",1
"2","middleware","D","3","0","2","0.0000",0,0,0,0,0,1,"1191",1
"2","middleware","C","3","0","2","0.0000",0,0,0,0,0,1,"1161",1
"2","routing","D","1","0","2","0.0000",0,0,0,0,0,1,"1249",1
"2","routing","C","1","0","2","0.0000",0,0,0,0,0,1,"1215",1
"2","routing","D","2","0","2","0.0000",0,0,0,0,0,1,"1258",1
"2","routing","C","2","0","2","0.0000",0,0,0,0,0,1,"1169",1
"2","routing","D","3","0","2","0.0000",0,0,0,0,0,1,"1170",1
"2","routing","C","3","0","2","0.0000",0,0,0,0,0,1,"1169",1
"2","errors","D","1","0","2","0.0000",0,0,0,0,0,1,"1174",1
