batch_size,domain,arm,trial,n_correct,n_total,pass_rate,input_tokens,cache_creation,cache_read,output_tokens,total_cost_usd,num_turns,duration_ms,is_error
"1","middleware","D","1","1","1","1.0000",11,15339,207023,618,0.16344390000000003,9,"20374",0
"1","middleware","C","1","1","1","1.0000",12,11396,179722,516,0.1300686,6,"21219",0
"1","middleware","D","2","1","1","1.0000",11,4953,221993,638,0.10591890000000001,10,"32350",0
"1","middleware","C","2","1","1","1.0000",11,2262,155469,449,0.0669807,5,"18778",0
"1","middleware","D","3","1","1","1.0000",10,3055,157236,638,0.0751008,5,"19980",0
"1","middleware","C","3","1","1","1.0000",11,2268,155487,455,0.0671121,5,"13993",0
"1","routing","D","1","1","1","1.0000",9,13698,151832,810,0.1399146,7,"22451",0
"1","routing","C","1","1","1","1.0000",12,12205,180527,502,0.1349541,6,"26785",0
"1","routing","D","2","1","1","1.0000",9,2599,157480,784,0.074625,7,"28481",0
"1","routing","C","2","1","1","1.0000",12,3786,188865,469,0.0864465,6,"22475",0
"1","routing","D","3","1","1","1.0000",1758,11329,164666,846,0.1353378,8,"26421",0
"1","routing","C","3","1","1","1.0000",12,3815,188896,499,0.0870798,6,"27708",0
"1","errors","D","1","1","1","1.0000",8,13468,116162,443,0.12232559999999998,6,"16521",0
"1","errors","C","1","1","1","1.0000",12,12259,180563,495,0.1351839,6,"24080",0
"1","errors","D","2","1","1","1.0000",9,5031,156976,492,0.0846858,7,"17639",0
"1","errors","C","2","1","1","1.0000",12,3862,188912,486,0.0871716,6,"14347",0
"1","errors","D","3","1","1","1.0000",10,5278,187272,624,0.09723960000000001,9,"20611",0
"1","errors","C","3","1","1","1.0000",12,3983,189063,499,0.0881379,6,"15236",0
"1","logging","D","1","1","1","1.0000",8,21836,116039,445,0.17252669999999998,6,"17588",0
"1","logging","C","1","1","1","1.0000",12,12150,180063,698,0.1374249,8,"22696",0
"1","logging","D","2","1","1","1.0000",8,13696,124920,851,0.13244099999999998,6,"25739",0
"1","logging","C","2","1","1","1.0000",12,4815,189512,701,0.09629460000000001,8,"24785",0
"1","logging","D","3","1","1","1.0000",698,5120,222007,862,0.1123461,10,"27546",0
"1","logging","C","3","1","1","1.0000",11,3840,156487,662,0.0799491,7,"27335",0
"1","testing","D","1","1","1","1.0000",11,10856,179915,513,0.12683850000000002,6,"23481",0
"1","testing","C","1","1","1","1.0000",12,12237,180526,519,0.1354008,6,"16805",0
"1","testing","D","2","1","1","1.0000",11,4870,221871,633,0.1053093,9,"24057",0
"1","testing","C","2","1","1","1.0000",12,3853,188909,522,0.0876567,6,"15444",0
"1","testing","D","3","1","1","1.0000",8,2227,124591,393,0.056658299999999995,6,"22043",0
"1","testing","C","3","1","1","1.0000",12,3854,188920,523,0.08768099999999998,6,"25095",0
"2","middleware","D","1","2","2","1.0000",9,14105,151044,657,0.13982519999999998,8,"17448",0
"2","middleware","C","1","2","2","1.0000",12,13357,181303,641,0.1441839,8,"18991",0
"2","middleware","D","2","2","2","1.0000",672,2564,157356,596,0.0735468,9,"16513",0
"2","middleware","C","2","2","2","1.0000",11,3157,155884,590,0.0745902,7,"19360",0
"2","middleware","D","3","2","2","1.0000",9,3272,157414,641,0.07649819999999999,9,"30612",0
"2","middleware","C","3","2","2","1.0000",14,9962,194659,706,0.1288017,8,"23839",0
"2","routing","D","1","2","2","1.0000",10,20917,178811,648,0.1888953,8,"25698",0
"2","routing","C","1","2","2","1.0000",12,13161,181075,627,0.14272949999999998,8,"19365",0
"2","routing","D","2","2","2","1.0000",18,5505,317980,1109,0.145113,14,"40843",0
"2","routing","C","2","2","2","1.0000",12,4761,189541,648,0.0951843,8,"22209",0
"2","routing","D","3","2","2","1.0000",12,3368,188374,700,0.0872562,10,"26392",0
"2","routing","C","3","2","2","1.0000",12,4773,189597,660,0.0954531,8,"19755",0
"2","errors","D","1","2","2","1.0000",8,14385,116475,590,0.13012649999999998,7,"19672",0
"2","errors","C","1","2","2","1.0000",12,13366,181353,666,0.1446279,8,"20508",0
"2","errors","D","2","2","2","1.0000",8,3543,188013,754,0.08899589999999999,9,"26810",0
"2","errors","C","2","2","2","1.0000",14,5059,189711,683,0.09755429999999998,8,"19419",0
"2","errors","D","3","2","2","1.0000",8,12101,124896,454,0.11690880000000001,6,"15270",0
"2","errors","C","3",0,2,0,0,0,0,0,0,0,0,1
"2","logging","D","1",0,2,0,0,0,0,0,0,0,0,1
"2","logging","C","1",0,2,0,0,0,0,0,0,0,0,1
"2","logging","D","2",0,2,0,0,0,0,0,0,0,0,1
"2","logging","C","2",0,2,0,0,0,0,0,0,0,0,1
"2","logging","D","3",0,2,0,0,0,0,0,0,0,0,1
"2","logging","C","3",0,2,0,0,0,0,0,0,0,0,1
"2","testing","D","1",0,2,0,0,0,0,0,0,0,0,1
"2","testing","C","1",0,2,0,0,0,0,0,0,0,0,1
"2","testing","D","2","2","2","1.0000",13,17855,209692,810,0.18222660000000002,11,"35833",0
"2","testing","C","2","2","2","1.0000",9,19328,155274,622,0.1719072,7,"28984",0
"2","testing","D","3","2","2","1.0000",11,4985,191347,866,0.1003371,8,"31917",0
"2","testing","C","3","2","2","1.0000",761,4076,189523,649,0.0933309,8,"23769",0
"8","middleware","D","1","8","8","1.0000",9,21372,117748,602,0.1726134,4,"15902",0
"8","middleware","C","1","8","8","1.0000",14,19002,184966,1593,0.1934388,20,"35765",0
"8","middleware","D","2","8","8","1.0000",13,10161,195277,1479,0.1417731,20,"31265",0
"8","middleware","C","2","8","8","1.0000",14,10270,193129,1484,0.1418607,20,"35963",0
"8","middleware","D","3","8","8","1.0000",13,10396,195913,1611,0.1453539,20,"35175",0
"8","middleware","C","3","8","8","1.0000",14,10276,193162,1490,0.1419966,20,"28536",0
"8","routing","D","1","8","8","1.0000",15,19287,250195,1599,0.2148105,22,"31009",0
"8","routing","C","1","8","8","1.0000",14,18702,184335,1435,0.1890795,20,"31780",0
"8","routing","D","2","8","8","1.0000",15,10445,259721,1738,0.1667013,22,"46146",0
"8","routing","C","2","8","8","1.0000",14,10125,193039,1474,0.14081369999999999,20,"29224",0
"8","routing","D","3","8","8","1.0000",13,10370,195992,1720,0.1468566,20,"35316",0
"8","routing","C","3","8","8","1.0000",14,10040,192967,1404,0.1392321,20,"43605",0
"8","errors","D","1","8","8","1.0000",14,19502,218495,1578,0.2062725,21,"30248",0
"8","errors","C","1","8","8","1.0000",13,18058,150612,1172,0.17115059999999999,12,"32379",0
"8","errors","D","2","8","8","1.0000",8,9087,94837,1362,0.10342710000000001,10,"30916",0
"8","errors","C","2","8","8","1.0000",14,10377,193264,1491,0.1426482,20,"32625",0
"8","errors","D","3","8","8","1.0000",11,8327,189810,1832,0.13441799999999998,13,"44927",0
"8","errors","C","3","8","8","1.0000",14,9813,193591,1479,0.1391823,20,"30574",0
"8","logging","D","1","8","8","1.0000",7,21787,128306,568,0.17775480000000002,5,"25435",0
"8","logging","C","1","8","8","1.0000",14,18882,184847,1563,0.1922331,20,"31800",0
"8","logging","D","2","8","8","1.0000",11,10021,195100,1427,0.140094,20,"24859",0
"8","logging","C","2","8","8","1.0000",14,10274,193512,1577,0.14339459999999998,20,"33453",0
"8","logging","D","3","8","8","1.0000",13,11112,198971,1597,0.1503573,20,"40207",0
"8","logging","C","3","8","8","1.0000",14,10153,193030,1456,0.11786475,20,"30593",0
"8","testing","D","1","8","8","1.0000",9,21452,117805,867,0.14898525,4,"46784",0
"8","testing","C","1","8","8","1.0000",14,18720,184324,1452,0.16668494999999997,20,"29723",0
"8","testing","D","2","8","8","1.0000",9,12421,126716,656,0.09446055,4,"19978",0
"8","testing","C","2","8","8","1.0000",14,10227,193393,1566,0.11990114999999998,20,"33371",0
"8","testing","D","3","8","8","1.0000",13,10330,195962,1670,0.1226151,20,"26827",0
