batch_size,domain,arm,trial,n_correct,n_total,pass_rate,input_tokens,cache_creation,cache_read,output_tokens,total_cost_usd,num_turns,duration_ms,is_error
"1","middleware","D","1","1","1","1.0000",6,28635,125472,690,0.2198196,4,"16239",0
"1","middleware","C","1","1","1","1.0000",6,23512,127187,830,0.1916961,3,"24470",0
"1","middleware","D","2","1","1","1.0000",6,4076,148428,914,0.08271239999999999,3,"20060",0
"1","middleware","C","2","1","1","1.0000",6,6415,147888,757,0.09422939999999999,4,"32403",0
"1","middleware","D","3","1","1","1.0000",6,2881,147256,549,0.0697158,3,"15970",0
"1","middleware","C","3","1","1","1.0000",6,6533,147972,572,0.0921876,4,"11999",0
"1","routing","D","1","1","1","1.0000",6,23857,127538,346,0.18661139999999998,3,"11506",0
"1","routing","C","1","1","1","1.0000",6,23921,127602,410,0.1879746,3,"11438",0
"1","routing","D","2","1","1","1.0000",6,3730,148111,569,0.0753663,3,"13348",0
"1","routing","C","2","1","1","1.0000",6,3255,147614,420,0.0701322,3,"10839",0
"1","routing","D","3","1","1","1.0000",6,3394,147753,559,0.07309289999999999,3,"12304",0
"1","routing","C","3","1","1","1.0000",6,5107,149466,1946,0.1046898,3,"27854",0
"1","errors","D","1","1","1","1.0000",6,23182,126824,452,0.1839372,3,"11908",0
"1","errors","C","1","1","1","1.0000",6,23154,126796,424,0.18334080000000003,3,"16941",0
"1","errors","D","2","1","1","1.0000",6,2711,147061,335,0.0654273,3,"16496",0
"1","errors","C","2","1","1","1.0000",6,1559,145909,293,0.05753969999999999,3,"11115",0
"1","errors","D","3","1","1","1.0000",6,2776,147126,400,0.0668118,3,"13544",0
"1","errors","C","3","1","1","1.0000",6,1693,146043,427,0.06039389999999999,3,"17118",0
"1","logging","D","1","1","1","1.0000",6,23043,126732,371,0.18186059999999998,3,"14856",0
"1","logging","C","1","1","1","1.0000",6,23103,126792,431,0.18313859999999998,3,"18989",0
"1","logging","D","2","1","1","1.0000",6,2773,147156,448,0.0675228,3,"10296",0
"1","logging","C","2","1","1","1.0000",6,3015,147398,690,0.0726774,3,"13661",0
"1","logging","D","3","1","1","1.0000",6,2808,147191,483,0.0682683,3,"11277",0
"1","logging","C","3","1","1","1.0000",6,3562,147945,407,0.07187849999999998,3,"11814",0
"1","testing","D","1","1","1","1.0000",6,23914,127559,402,0.18779969999999999,3,"9419",0
"1","testing","C","1","1","1","1.0000",6,23050,126720,694,0.18674400000000002,3,"13404",0
"1","testing","D","2","1","1","1.0000",6,3628,147992,463,0.0731286,3,"10336",0
"1","testing","C","2","1","1","1.0000",6,3669,148033,504,0.07400190000000001,3,"10515",0
"1","testing","D","3","1","1","1.0000",6,3733,148097,568,0.0753651,3,"11969",0
"1","testing","C","3","1","1","1.0000",6,3534,147870,369,0.071118,3,"10071",0
"2","middleware","D","1","2","2","1.0000",6,27917,127710,630,0.215283,5,"11256",0
"2","middleware","C","1","2","2","1.0000",917,33324,127627,581,0.24969809999999998,5,"11488",0
"2","middleware","D","2","2","2","1.0000",8,10298,205167,979,0.1380471,6,"17095",0
"2","middleware","C","2","2","2","1.0000",6,7437,148019,552,0.0973257,5,"10465",0
"2","middleware","D","3","2","2","1.0000",8,10228,205031,903,0.13644630000000002,6,"20068",0
"2","middleware","C","3","2","2","1.0000",8,7660,203365,798,0.11896349999999999,5,"16192",0
"2","routing","D","1","2","2","1.0000",6,41770,127661,489,0.2962713,4,"11208",0
"2","routing","C","1","2","2","1.0000",6,25117,127790,609,0.198192,4,"12317",0
"2","routing","D","2","2","2","1.0000",933,6474,200149,483,0.10893270000000001,5,"11761",0
"2","routing","C","2","2","2","1.0000",6,3767,147232,485,0.0740646,4,"10807",0
"2","routing","D","3","2","2","1.0000",6,3724,147213,442,0.0731559,4,"10198",0
"2","routing","C","3","2","2","1.0000",931,2948,147340,591,0.07354799999999999,4,"11946",0
"2","errors","D","1","2","2","1.0000",6,24162,126775,410,0.1891725,4,"9417",0
"2","errors","C","1","2","2","1.0000",6,24098,126735,346,0.1878165,4,"9868",0
"2","errors","D","2","2","2","1.0000",6,3931,147299,582,0.0765237,4,"12314",0
"2","errors","C","2","2","2","1.0000",6,3817,147247,468,0.0741141,4,"9170",0
"2","errors","D","3","2","2","1.0000",6,3877,147294,528,0.07538819999999999,4,"11054",0
"2","errors","C","3","2","2","1.0000",6,2642,146085,403,0.0657405,4,"10133",0
"2","logging","D","1","2","2","1.0000",922,23160,126790,419,0.186048,4,"9985",0
"2","logging","C","1","2","2","1.0000",6,24190,126887,532,0.1912041,4,"10353",0
"2","logging","D","2","2","2","1.0000",6,4101,147597,835,0.0814281,4,"13890",0
"2","logging","C","2","2","2","1.0000",6,2540,146036,384,0.0648288,4,"11417",0
"2","logging","D","3","2","2","1.0000",6,4557,148026,460,0.0786678,4,"10194",0
"2","logging","C","3","2","2","1.0000",6,3654,147150,388,0.071907,4,"9279",0
"2","testing","D","1","2","2","1.0000",6,33054,126455,570,0.2448285,5,"10517",0
"2","testing","C","1","2","2","1.0000",6,32191,127623,415,0.2376759,3,"12189",0
"2","testing","D","2","2","2","1.0000",6,11864,148074,480,0.12282419999999998,3,"11588",0
"2","testing","C","2","2","2","1.0000",6,6402,148039,466,0.0898317,4,"13839",0
"2","testing","D","3","2","2","1.0000",6,17301,148006,436,0.1547658,3,"10391",0
"2","testing","C","3","2","2","1.0000",6,14365,148043,551,0.1388859,4,"14412",0
"4","middleware","D","1","4","4","1.0000",2411,38132,128002,691,0.2847906,4,"15247",0
"4","middleware","C","1","4","4","1.0000",6,40480,127986,635,0.29081880000000004,4,"13200",0
"4","middleware","D","2","4","4","1.0000",6,17435,148409,516,0.1568907,3,"13955",0
"4","middleware","C","2","4","4","1.0000",6,14556,148589,745,0.1431057,4,"16692",0
"4","middleware","D","3","4","4","1.0000",2411,17796,148592,847,0.1712916,4,"15661",0
"4","middleware","C","3","4","4","1.0000",6,17582,148542,668,0.16009259999999997,3,"13256",0
"4","routing","D","1","4","4","1.0000",949,28637,181570,744,0.24029999999999999,7,"15940",0
"4","routing","C","1","4","4","1.0000",8,29619,181588,785,0.24398939999999997,7,"16067",0
"4","routing","D","2","4","4","1.0000",8,9056,201962,709,0.1255836,7,"22781",0
"4","routing","C","2","4","4","1.0000",8,9499,202817,1152,0.13514310000000002,7,"21656",0
"4","routing","D","3","4","4","1.0000",8,9513,202899,1166,0.13546170000000002,7,"18853",0
"4","routing","C","3","4","4","1.0000",949,8195,202131,789,0.12449129999999999,7,"19055",0
"4","errors","D","1","4","4","1.0000",6,26349,127028,676,0.2063604,6,"12130",0
"4","errors","C","1","4","4","1.0000",6,26273,126999,600,0.2047557,6,"13103",0
"4","errors","D","2","4","4","1.0000",8,6872,203017,896,0.1156011,6,"15335",0
"4","errors","C","2","4","4","1.0000",6,5801,147454,628,0.0884802,6,"14816",0
"4","errors","D","3","4","4","1.0000",6,5923,147524,750,0.0910632,6,"13702",0
"4","errors","C","3","4","4","1.0000",6,6695,148334,692,0.09506819999999999,6,"11156",0
"4","logging","D","1","4","4","1.0000",6,27108,127907,715,0.2117631,6,"11292",0
"4","logging","C","1","4","4","1.0000",6,26109,126901,546,0.2029323,6,"11277",0
"4","logging","D","2","4","4","1.0000",6,5693,147446,609,0.0875448,6,"13130",0
"4","logging","C","2","4","4","1.0000",6,5774,147527,690,0.08927009999999999,6,"10920",0
"4","logging","D","3","4","4","1.0000",6,4783,146568,809,0.08482139999999999,6,"14013",0
"4","logging","C","3","4","4","1.0000",6,6814,148571,900,0.09897330000000001,6,"14766",0
"4","testing","D","1","4","4","1.0000",6,37706,127751,381,0.2702943,3,"9757",0
"4","testing","C","1","4","4","1.0000",6,37799,127825,474,0.2722695,3,"11984",0
"4","testing","D","2","4","4","1.0000",6,19535,148065,584,0.1704075,4,"11964",0
"4","testing","C","2","4","4","1.0000",6,19844,148329,566,0.1720707,4,"12769",0
"4","testing","D","3","4","4","1.0000",6,19735,148265,462,0.1698375,4,"10806",0
"4","testing","C","3","4","4","1.0000",6,17264,148262,420,0.15438059999999998,3,"9976",0
"8","middleware","D","1","8","8","1.0000",8,34060,182273,1163,0.27651089999999995,11,"19102",0
"8","middleware","C","1","8","8","1.0000",2411,38270,128364,678,0.2855322,4,"12607",0
"8","middleware","D","2","8","8","1.0000",8,13349,202864,1131,0.1579422,11,"16613",0
"8","middleware","C","2","8","8","1.0000",2411,17672,149095,749,0.1692285,4,"14842",0
"8","middleware","D","3","8","8","1.0000",2411,17654,149077,705,0.16845510000000002,4,"12246",0
"8","middleware","C","3","8","8","1.0000",8,13426,203036,1208,0.1596108,11,"19032",0
"8","routing","D","1","8","8","1.0000",8,42347,192797,1540,0.3350451,10,"30560",0
