phase,N,task_id,arm,trial,pass,input_tokens,cache_creation,cache_read,output_tokens,total_cost_usd,num_turns,duration_ms,is_error,subtype
"crossover","1","000","B3","1","1",5,7658,72744,218,0.05382569999999999,3,12750,0,"success"
"crossover","1","000","C","1","1",11,2536,139800,425,0.057858,5,11967,0,"success"
"crossover","1","000","B2","1","1",4,761,53178,152,0.021099149999999997,2,7278,0,"success"
"crossover","1","000","B1","1","1",3,0,27022,12,0.0082956,1,1724,0,"success"
"crossover","1","000","A","1","0",14,8201,343548,2176,0.16650015000000004,13,50337,1,"error_max_turns"
"crossover","1","000","A","2","0",13,16448,375598,2397,0.2103534,13,51389,0,"success"
"crossover","1","000","B1","2","1",3,0,27022,12,0.0082956,1,2704,0,"success"
"crossover","1","000","C","2","1",11,1336,140997,425,0.0537171,5,13524,0,"success"
"crossover","1","000","B3","2","1",5,983,79605,259,0.031467749999999996,4,8529,0,"success"
"crossover","1","000","B2","2","1",4,753,53178,144,0.02094915,2,6324,0,"success"
"crossover","1","000","B3","3","1",5,883,79505,211,0.030342749999999998,3,19635,0,"success"
"crossover","1","000","B1","3","1",3,0,27022,12,0.0082956,1,2004,0,"success"
"crossover","1","000","C","3","1",11,2533,139792,422,0.05779935,5,13260,0,"success"
"crossover","1","000","B2","3","1",4,768,53178,159,0.0212304,2,5814,0,"success"
"crossover","1","000","A","3","0",10,5678,227968,1064,0.1056729,10,27070,0,"success"
"crossover","1","000","B2","4","1",4,7498,42006,169,0.0432663,2,6628,0,"success"
"crossover","1","000","B1","4","1",3,7153,17643,12,0.03230565,1,1904,0,"success"
"crossover","1","000","C","4","1",11,9725,121452,401,0.07895234999999999,5,14591,0,"success"
"crossover","1","000","B3","4","1",4,7058,41862,237,0.09070920000000002,2,21962,0,"success"
"crossover","1","000","A","4","0",13,13786,291153,2103,0.2765023,13,92352,0,"success"
"crossover","1","000","B3","5","1",4,646,48438,252,0.09151735,2,44978,0,"success"
"crossover","1","000","B2","5","1",4,0,49504,169,0.0173982,2,6670,0,"success"
