phase,N,task_id,arm,trial,pass,input_tokens,cache_creation,cache_read,output_tokens,total_cost_usd,num_turns,duration_ms,is_error,subtype
"crossover","1","000","B3","1","1",12,6687,320453,2375,0.5087164499999999,6,34155,0,"success"
"crossover","1","000","C","1","1",6,23918,119811,235,0.18299429999999997,3,6723,0,"success"
"crossover","1","000","B2","1","1",4,21500,70929,175,0.1529157,2,5727,0,"success"
"crossover","1","000","B1","1","1",2,21175,25189,9,0.1347477,1,2129,0,"success"
"crossover","1","000","A","1","0",6,25772,121372,853,0.2038566,3,13436,0,"success"
"crossover","1","000","A","2","0",8,3381,186884,2151,0.10864020000000002,7,26742,0,"success"
"crossover","1","000","B1","2","1",2,21194,25189,9,0.1348617,1,2119,0,"success"
"crossover","1","000","C","2","1",6,23555,119504,215,0.1804242,3,6749,0,"success"
"crossover","1","000","B3","2","1",2,876,56825,78,0.40273605,1,2664,0,"success"
"crossover","1","000","B2","2","1",8,22672,163722,445,0.1918476,4,12271,0,"success"
"crossover","1","000","B3","3","1",20,7841,488190,1784,0.220323,10,32720,0,"success"
"crossover","1","000","B1","3","1",2,0,46383,9,0.0140559,1,2284,0,"success"
"crossover","1","000","C","3","1",6,2277,140904,274,0.060061199999999995,3,10651,0,"success"
"crossover","1","000","B2","3","1",12,2962,277943,1277,0.1203459,6,19971,0,"success"
"crossover","1","000","A","3","0",8,23818,165785,1853,0.2204625,6,22763,0,"success"
"crossover","1","000","B2","4","1",8,2245,184624,591,0.0777462,4,11907,0,"success"
"crossover","1","000","B1","4","1",2,0,46383,9,0.0140559,1,2299,0,"success"
"crossover","1","000","C","4","1",6,3495,142085,302,0.0681435,3,7151,0,"success"
"crossover","1","000","B3","4","1",2,1372,47416,11,0.2092671,1,3495,0,"success"
"crossover","1","000","A","4","0",6,1825,138285,830,0.0649035,3,14122,0,"success"
"crossover","1","000","B3","5","1",2,684,48867,11,0.25160565,1,1975,0,"success"
"crossover","1","000","B2","5","1",8,2264,184447,606,0.07803210000000001,4,11941,0,"success"
"crossover","1","000","A","5","0",6,6263,141893,883,0.09340889999999999,3,13870,0,"success"
"crossover","1","000","B1","5","1",2,0,46383,9,0.0140559,1,2395,0,"success"
"crossover","1","000","C","5","1",6,2576,141166,210,0.0609738,3,6883,0,"success"
"crossover","20","000","C","1","1",6,23627,119617,235,0.18119009999999997,3,6636,0,"success"
"crossover","20","000","B2","1","1",8,23358,165799,480,0.1971117,4,11799,0,"success"
"crossover","20","000","A","1","0",4,22091,70846,2201,0.18682680000000002,3,27317,0,"success"
"crossover","20","000","B1","1","1",2,33263,25189,9,0.2072757,1,4835,0,"success"
"crossover","20","000","B3","1","1",2,1051,55547,9,0.42087389999999997,1,2183,0,"success"
"crossover","20","000","A","2","0",8,2301,185807,1300,0.0890721,4,20251,0,"success"
"crossover","20","000","B2","2","1",6,1158,139364,370,0.05432520000000001,3,10400,0,"success"
"crossover","20","000","B1","2","1",2,0,58452,9,0.017676599999999997,1,2332,0,"success"
"crossover","20","000","C","2","1",6,2258,141004,255,0.059692199999999994,3,8391,0,"success"
"crossover","20","000","B3","2","1",2,689,58178,9,0.27523875,1,1844,0,"success"
"crossover","20","000","B2","3","1",6,1227,139481,439,0.055809300000000006,3,10003,0,"success"
"crossover","20","000","B1","3","1",2,0,58452,9,0.017676599999999997,1,3604,0,"success"
"crossover","20","000","C","3","1",6,2277,141023,274,0.060096899999999995,3,7845,0,"success"
"crossover","20","000","A","3","0",4,754,91314,778,0.043600200000000006,2,10486,0,"success"
"crossover","20","000","B3","3","1",2,784,47435,11,0.1763427,1,2745,0,"success"
"crossover","20","000","B1","4","1",2,0,58452,9,0.017676599999999997,1,2150,0,"success"
"crossover","20","000","B3","4","1",14,2684,323088,922,0.1269024,8,18790,0,"success"
"crossover","20","000","B2","4","1",4,949,92826,177,0.0362088,2,5757,0,"success"
"crossover","20","000","C","4","1",6,2238,140984,234,0.0592512,3,5893,0,"success"
"crossover","20","000","A","4","0",4,453,91314,440,0.0367242,2,7274,0,"success"
"crossover","20","000","B1","5","1",2,0,58452,9,0.017676599999999997,1,4789,0,"success"
"crossover","20","000","B3","5","1",18,25782,494711,1441,0.3247743,9,27035,0,"success"
"crossover","20","000","C","5","1",6,2272,141018,269,0.0599904,3,7925,0,"success"
"crossover","20","000","B2","5","1",4,1246,92826,472,0.042415800000000004,2,7842,0,"success"
"crossover","20","000","A","5","0",88,2765,186312,1816,0.0999876,6,23202,0,"success"
"crossover","80","000","B2","1","1",4,24179,73543,240,0.1707489,2,5235,0,"success"
"crossover","80","000","A","1","0",10,26318,223849,1325,0.24496769999999998,5,19481,0,"success"
"crossover","80","000","C","1","1",6,24890,120857,352,0.19089509999999998,3,8117,0,"success"
"crossover","80","000","B3","1","1",2,889,60440,11,0.48619200000000007,1,2810,0,"success"
"crossover","80","000","B1","1","1",2,71480,25189,9,0.4365777,1,2889,0,"success"
"crossover","80","000","B1","2","1",2,0,96669,9,0.0291417,1,2873,0,"success"
"crossover","80","000","A","2","0",4,1465,91314,481,0.0434112,2,8516,0,"success"
"crossover","80","000","B3","2","1",16,10314,393944,1502,0.2700477,8,50756,0,"success"
"crossover","80","000","B2","2","1",10,2179,243315,508,0.09371850000000001,5,13254,0,"success"
"crossover","80","000","C","2","1",6,2632,141357,303,0.06276209999999999,3,8947,0,"success"
"crossover","80","000","A","3","0",6,2465,137847,1054,0.0719721,4,14459,0,"success"
"crossover","80","000","B3","3","1",8,8356,206894,1040,0.2880168,6,18533,0,"success"
"crossover","80","000","B1","3","1",2,0,96669,9,0.0291417,1,2663,0,"success"
"crossover","80","000","C","3","1",6,2298,141023,295,0.0605379,3,7946,0,"success"
"crossover","80","000","B2","3","1",4,1040,96708,266,0.0392544,2,6567,0,"success"
"crossover","80","000","C","4","1",6,3426,142151,267,0.0672243,3,6767,0,"success"
"crossover","80","000","B1","4","1",2,0,96669,9,0.0291417,1,2027,0,"success"
"crossover","80","000","A","4","0",12,13866,304450,1660,0.199467,6,28051,0,"success"
"crossover","80","000","B2","4","1",6,1219,145331,431,0.0573963,3,9754,0,"success"
"crossover","80","000","B3","4","1",2,908,50280,9,0.2167101,1,1785,0,"success"
"crossover","80","000","B3","5","1",2,1201,52335,11,0.26328015000000005,1,2233,0,"success"
"crossover","80","000","B2","5","1",4,1028,96708,254,0.0390024,2,6716,0,"success"
"crossover","80","000","A","5","0",6,3381,138677,1092,0.0782871,4,17698,0,"success"
"crossover","80","000","C","5","1",6,3465,142190,306,0.068055,3,9005,0,"success"
"crossover","80","000","B1","5","1",2,0,96669,9,0.0291417,1,2492,0,"success"
"crossover","160","000","B1","1","1",2,126489,25189,9,0.7666317,1,3483,0,"success"
"crossover","160","000","A","1","0",4,26585,70846,1284,0.2000358,2,17506,0,"success"
"crossover","160","000","B3","1","1",18,24271,399755,1745,0.29178149999999997,9,43218,0,"success"
"crossover","160","000","C","1","1",6,23980,119950,271,0.18394800000000003,3,6721,0,"success"
"crossover","160","000","B2","1","1",8,29363,183483,601,0.24026190000000003,4,12011,0,"success"
"crossover","160","000","B1","2","1",2,0,151678,9,0.0456444,1,3334,0,"success"
"crossover","160","000","C","2","1",6,3432,142182,270,0.0673146,3,7037,0,"success"
"crossover","160","000","B3","2","1",30,37623,881241,5818,0.6291024,15,109843,0,"success"
"crossover","160","000","B2","2","1",8,2125,210464,469,0.0829482,4,12765,0,"success"
"crossover","160","000","A","2","0",6,2402,138599,1371,0.0765747,4,22123,0,"success"
"crossover","160","000","B1","3","1",2,0,151678,9,0.0456444,1,7820,0,"success"
"crossover","160","000","A","3","0",6,2160,138587,1043,0.0701991,5,14040,0,"success"
"crossover","160","000","C","3","1",6,3506,142240,347,0.068931,3,9236,0,"success"
"crossover","160","000","B2","3","1",12,9986,325313,666,0.1675359,6,15629,0,"success"
"crossover","160","000","B3","3","1",2,1088,49591,11,0.27672315000000003,1,1890,0,"success"
"crossover","160","000","B1","4","1",2,0,151678,9,0.0456444,1,2963,0,"success"
"crossover","160","000","A","4","0",4,904,91314,977,0.047485200000000005,3,12529,0,"success"
"crossover","160","000","B3","4","1",18,4316,551104,1674,0.4789122,9,27473,0,"success"
"crossover","160","000","C","4","1",6,2239,140973,238,0.059313899999999996,3,7709,0,"success"
"crossover","160","000","B2","4","1",10,1697,262539,882,0.10220370000000001,5,16345,0,"success"
"crossover","160","000","A","5","0",12,7761,296897,2358,0.1710411,6,31823,0,"success"
"crossover","160","000","C","5","1",6,3471,142205,312,0.0681855,3,9201,0,"success"
"crossover","160","000","B1","5","1",2,0,151678,9,0.0456444,1,7571,0,"success"
"crossover","160","000","B2","5","1",8,2153,210452,497,0.0835326,4,11232,0,"success"
"crossover","160","000","B3","5","1",2,1180,58435,9,0.37022085,1,1866,0,"success"
"crossover","320","000","B1","1","1",2,236159,25189,9,1.4246517,1,4619,0,"success"
"crossover","320","000","A","1","0",6,22072,116802,1057,0.1833456,4,15998,0,"success"
